Time,Query,Approach,Tuples
31.04,1,NBF(i)(f),374743
130.2,2,NBF(i)(f),749485
10.19,3,NBF(i)(f),8
37.01,4,NBF(i)(f),11
9.94,5,NBF(i)(f),9
10.22,6,NBF(i)(f),14
67.2,7,NBF(i)(f),546014
145.8,8,NBF(i)(f),1092066
29.03,9,NBF(i)(f),8
29.82,10,NBF(i)(f),14
23.06,11,NBF(i)(f),13
23.34,12,NBF(i)(f),29
7.1,1,NBF(i),374743
20.25,2,NBF(i),749485
8.57,3,NBF(i),8
34.09,4,NBF(i),11
8.68,5,NBF(i),9
8.67,6,NBF(i),14
7.24,7,NBF(i),546014
35.3,8,NBF(i),1092066
27.4,9,NBF(i),8
27.38,10,NBF(i),14
20.74,11,NBF(i),13
20.77,12,NBF(i),29
