Time,Query,Approach
6.95,1,NBF
19.88,2,NBF
8.54,3,NBF
33.58,4,NBF
8.68,5,NBF
8.54,6,NBF
7.63,7,NBF
35.62,8,NBF
26.86,9,NBF
27.15,10,NBF
20.73,11,NBF
21.02,12,NBF
6.98,1,UBF
18.45,2,UBF
8.73,3,UBF
33.52,4,UBF
8.64,5,UBF
8.48,6,UBF
8.13,7,UBF
35.53,8,UBF
27.43,9,UBF
27.48,10,UBF
20.86,11,UBF
20.77,12,UBF
6.47,1,UAV
18.56,2,UAV
8.69,3,UAV
34.33,4,UAV
9.15,5,UAV
8.63,6,UAV
7.27,7,UAV
35.93,8,UAV
27.82,9,UAV
28.54,10,UAV
21.58,11,UAV
21.26,12,UAV
7.1,1,NBF(i)
20.25,2,NBF(i)
8.57,3,NBF(i)
34.09,4,NBF(i)
8.68,5,NBF(i)
8.67,6,NBF(i)
7.24,7,NBF(i)
35.3,8,NBF(i)
27.4,9,NBF(i)
27.38,10,NBF(i)
20.74,11,NBF(i)
20.77,12,NBF(i)
6.41,1,UBF(i)
18.89,2,UBF(i)
8.8,3,UBF(i)
35,4,UBF(i)
8.76,5,UBF(i)
8.57,6,UBF(i)
7.23,7,UBF(i)
35.58,8,UBF(i)
27.42,9,UBF(i)
28.17,10,UBF(i)
21.24,11,UBF(i)
20.95,12,UBF(i)
