Time,Query,Approach,Tuples,Variants,UniqueVariants
31.04,1,NBF(i)(f),374743,1,1
130.2,2,NBF(i)(f),749485,3,2
10.19,3,NBF(i)(f),8,1,1
37.01,4,NBF(i)(f),11,3,3
9.94,5,NBF(i)(f),9,1,1
10.22,6,NBF(i)(f),14,3,1
67.2,7,NBF(i)(f),546014,1,1
145.8,8,NBF(i)(f),1092066,3,3
29.03,9,NBF(i)(f),8,1,1
29.82,10,NBF(i)(f),14,3,1
23.06,11,NBF(i)(f),13,1,1
23.34,12,NBF(i)(f),29,3,1
31.81,1,NBF(f),374743,1,1
126.6,2,NBF(f),749485,3,2
10.28,3,NBF(f),8,1,1
37.56,4,NBF(f),11,3,3
10.78,5,NBF(f),9,1,1
10.35,6,NBF(f),14,3,1
69.6,7,NBF(f),546014,1,1
143.4,8,NBF(f),1092066,3,3
29.72,9,NBF(f),8,1,1
30.36,10,NBF(f),14,3,1
23.66,11,NBF(f),13,1,1
23.32,12,NBF(f),29,3,1
