Time,Query,Approach,Tuples,Variants,UniqueVariants
31.04,1,NBF(i)(f),374743,1,1
130.2,2,NBF(i)(f),749485,3,2
10.19,3,NBF(i)(f),8,1,1
37.01,4,NBF(i)(f),11,3,3
9.94,5,NBF(i)(f),9,1,1
10.22,6,NBF(i)(f),14,3,1
67.2,7,NBF(i)(f),546014,1,1
145.8,8,NBF(i)(f),1092066,3,3
29.03,9,NBF(i)(f),8,1,1
29.82,10,NBF(i)(f),14,3,1
23.06,11,NBF(i)(f),13,1,1
23.34,12,NBF(i)(f),29,3,1
7.1,1,NBF(i),374743,1,1
20.25,2,NBF(i),749485,3,2
8.57,3,NBF(i),8,1,1
34.09,4,NBF(i),11,3,3
8.68,5,NBF(i),9,1,1
8.67,6,NBF(i),14,3,1
7.24,7,NBF(i),546014,1,1
35.3,8,NBF(i),1092066,3,3
27.4,9,NBF(i),8,1,1
27.38,10,NBF(i),14,3,1
20.74,11,NBF(i),13,1,1
20.77,12,NBF(i),29,3,1
