Time,Query,Approach,Tuples,Variants,UniqueVariants
31.81,1,NBF(f),374743,1,1
126.6,2,NBF(f),749485,3,2
10.28,3,NBF(f),8,1,1
37.56,4,NBF(f),11,3,3
10.78,5,NBF(f),9,1,1
10.35,6,NBF(f),14,3,1
69.6,7,NBF(f),546014,1,1
143.4,8,NBF(f),1092066,3,3
29.72,9,NBF(f),8,1,1
30.36,10,NBF(f),14,3,1
23.66,11,NBF(f),13,1,1
23.32,12,NBF(f),29,3,1
6.95,1,NBF,374743,1,1
19.88,2,NBF,749485,3,2
8.54,3,NBF,8,1,1
33.58,4,NBF,11,3,3
8.68,5,NBF,9,1,1
8.54,6,NBF,14,3,1
7.63,7,NBF,546014,1,1
35.62,8,NBF,1092066,3,3
26.86,9,NBF,8,1,1
27.15,10,NBF,14,3,1
20.73,11,NBF,13,1,1
21.02,12,NBF,29,3,1
