Time,Query,Approach,Variants,UniqueVariants
6.95,1,NBF,1,1
19.88,2,NBF,3,2
8.54,3,NBF,1,1
33.58,4,NBF,3,3
8.68,5,NBF,1,1
8.54,6,NBF,3,1
7.63,7,NBF,1,1
35.62,8,NBF,3,3
26.86,9,NBF,1,1
27.15,10,NBF,3,1
20.73,11,NBF,1,1
21.02,12,NBF,3,1
6.98,1,UBF,1,1
18.45,2,UBF,3,2
8.73,3,UBF,1,1
33.52,4,UBF,3,3
8.64,5,UBF,1,1
8.48,6,UBF,3,1
8.13,7,UBF,1,1
35.53,8,UBF,3,3
27.43,9,UBF,1,1
27.48,10,UBF,3,1
20.86,11,UBF,1,1
20.77,12,UBF,3,1
6.47,1,UAV,1,1
18.56,2,UAV,3,2
8.69,3,UAV,1,1
34.33,4,UAV,3,3
9.15,5,UAV,1,1
8.63,6,UAV,3,1
7.27,7,UAV,1,1
35.93,8,UAV,3,3
27.82,9,UAV,1,1
28.54,10,UAV,3,1
21.58,11,UAV,1,1
21.26,12,UAV,3,1
7.1,1,NBF(i),1,1
20.25,2,NBF(i),3,2
8.57,3,NBF(i),1,1
34.09,4,NBF(i),3,3
8.68,5,NBF(i),1,1
8.67,6,NBF(i),3,1
7.24,7,NBF(i),1,1
35.3,8,NBF(i),3,3
27.4,9,NBF(i),1,1
27.38,10,NBF(i),3,1
20.74,11,NBF(i),1,1
20.77,12,NBF(i),3,1
6.41,1,UBF(i),1,1
18.89,2,UBF(i),3,2
8.8,3,UBF(i),1,1
35,4,UBF(i),3,3
8.76,5,UBF(i),1,1
8.57,6,UBF(i),3,1
7.23,7,UBF(i),1,1
35.58,8,UBF(i),3,3
27.42,9,UBF(i),1,1
28.17,10,UBF(i),3,1
21.24,11,UBF(i),1,1
20.95,12,UBF(i),3,1
