Time,Query,Approach,Variants,UniqueVariants
8.05,bsc,NBF,5,1
1.92,adr,NBF,2,1
9.26,sgn,NBF,5,2
8.48,enc,NBF,5,2
1.26,aut,NBF,2,1
2.14,frw,NBF,2,1
1.7,rmm,NBF,2,1
2.39,flt,NBF,2,1
2.74,mhs,NBF,2,1
28.62,1,NBF,5,4
13.84,2_1,NBF,5,3
19.12,2_2,NBF,5,3
17.83,3,NBF,5,3
21.82,4_1,NBF,5,4
16.9,4_2,NBF,5,3
19.59,5,NBF,5,3
24.59,6_1,NBF,5,3
25.85,6_2,NBF,5,4
22.78,7,NBF,5,4
24.88,8_1,NBF,5,4
28.38,8_2,NBF,5,4
0.89,9,NBF,2,1
28.43,10,NBF,5,4
17.36,11,NBF,5,2
29.82,12,NBF,5,4
28.73,13,NBF,5,4
1.66,bsc,UBF,5,1
1.34,adr,UBF,2,1
3.39,sgn,UBF,5,2
3.27,enc,UBF,5,2
1.11,aut,UBF,2,1
1.34,frw,UBF,2,1
1.59,rmm,UBF,2,1
1.36,flt,UBF,2,1
1.53,mhs,UBF,2,1
27.57,1,UBF,5,4
12.57,2_1,UBF,5,3
17.36,2_2,UBF,5,3
16.06,3,UBF,5,3
20.71,4_1,UBF,5,4
13.96,4_2,UBF,5,3
17.18,5,UBF,5,3
23.08,6_1,UBF,5,3
24.1,6_2,UBF,5,4
21.32,7,UBF,5,4
23.76,8_1,UBF,5,4
26.34,8_2,UBF,5,4
0.89,9,UBF,2,1
26.38,10,UBF,5,4
14.55,11,UBF,5,2
27.94,12,UBF,5,4
26.88,13,UBF,5,4
