Time,Query,Approach,Variants,UniqueVariants
6.81,bsc,NBF(i),5,1
1.84,adr,NBF(i),2,1
6.84,sgn,NBF(i),5,2
6.56,enc,NBF(i),5,2
1.32,aut,NBF(i),2,1
1.82,frw,NBF(i),2,1
1.62,rmm,NBF(i),2,1
1.9,flt,NBF(i),2,1
2.13,mhs,NBF(i),2,1
27.48,1,NBF(i),5,4
13.51,2_1,NBF(i),5,3
18.03,2_2,NBF(i),5,3
17.17,3,NBF(i),5,3
21.5,4_1,NBF(i),5,4
15.95,4_2,NBF(i),5,3
17.81,5,NBF(i),5,3
24.02,6_1,NBF(i),5,3
24.22,6_2,NBF(i),5,4
21.72,7,NBF(i),5,4
23.51,8_1,NBF(i),5,4
26.39,8_2,NBF(i),5,4
0.87,9,NBF(i),2,1
26.67,10,NBF(i),5,4
16.22,11,NBF(i),5,2
28.03,12,NBF(i),5,4
27.34,13,NBF(i),5,4
1.84,bsc,UBF(i),5,1
1.45,adr,UBF(i),2,1
3.37,sgn,UBF(i),5,2
3.12,enc,UBF(i),5,2
1.08,aut,UBF(i),2,1
1.56,frw,UBF(i),2,1
1.24,rmm,UBF(i),2,1
1.37,flt,UBF(i),2,1
1.52,mhs,UBF(i),2,1
27.9,1,UBF(i),5,4
11.86,2_1,UBF(i),5,3
16.34,2_2,UBF(i),5,3
15.32,3,UBF(i),5,3
20.54,4_1,UBF(i),5,4
13.71,4_2,UBF(i),5,3
16.92,5,UBF(i),5,3
22.46,6_1,UBF(i),5,3
23.16,6_2,UBF(i),5,4
20.44,7,UBF(i),5,4
22.93,8_1,UBF(i),5,4
26.3,8_2,UBF(i),5,4
0.87,9,UBF(i),2,1
25.59,10,UBF(i),5,4
14.05,11,UBF(i),5,2
27.43,12,UBF(i),5,4
26.42,13,UBF(i),5,4
