Time,Query,Approach,Tuples,Variants,UniqueVariants
50.66,bsc,NBF(i)(f),330745,5,1
21.61,adr,NBF(i)(f),50093,2,1
92.4,sgn,NBF(i)(f),330745,5,2
93,enc,NBF(i)(f),330745,5,2
3.2,aut,NBF(i)(f),5419,2,1
20.35,frw,NBF(i)(f),55653,2,1
18.44,rmm,NBF(i)(f),44473,2,1
20.68,flt,NBF(i)(f),55653,2,1
22.2,mhs,NBF(i)(f),50093,2,1
100.2,1,NBF(i)(f),254097,5,4
67.8,2_1,NBF(i)(f),366973,5,3
60.6,2_2,NBF(i)(f),207533,5,3
57.92,3,NBF(i)(f),203863,5,3
85.8,4_1,NBF(i)(f),285178,5,4
54.78,4_2,NBF(i)(f),229409,5,3
76.2,5,NBF(i)(f),242917,5,3
66.6,6_1,NBF(i)(f),190656,5,3
57.23,6_2,NBF(i)(f),162831,5,4
61.8,7,NBF(i)(f),223390,5,4
60,8_1,NBF(i)(f),201806,5,4
66,8_2,NBF(i)(f),176712,5,4
0.87,9,NBF(i)(f),3,2,1
73.8,10,NBF(i)(f),192445,5,4
48.79,11,NBF(i)(f),198447,5,2
74.4,12,NBF(i)(f),192445,5,4
73.8,13,NBF(i)(f),189665,5,4
51.76,bsc,NBF(f),330745,5,1
22.11,adr,NBF(f),50093,2,1
93.6,sgn,NBF(f),330745,5,2
92.4,enc,NBF(f),330745,5,2
3.25,aut,NBF(f),5419,2,1
20.28,frw,NBF(f),55653,2,1
18.79,rmm,NBF(f),44473,2,1
20.32,flt,NBF(f),55653,2,1
22.26,mhs,NBF(f),50093,2,1
98.4,1,NBF(f),254097,5,4
66,2_1,NBF(f),366973,5,3
60,2_2,NBF(f),207533,5,3
57.37,3,NBF(f),203863,5,3
86.4,4_1,NBF(f),285178,5,4
54.18,4_2,NBF(f),229409,5,3
75,5,NBF(f),242917,5,3
65.04,6_1,NBF(f),190656,5,3
55.93,6_2,NBF(f),162831,5,4
61.2,7,NBF(f),223390,5,4
60,8_1,NBF(f),201806,5,4
66.6,8_2,NBF(f),176712,5,4
0.89,9,NBF(f),3,2,1
73.2,10,NBF(f),192445,5,4
47.95,11,NBF(f),198447,5,2
74.4,12,NBF(f),192445,5,4
74.4,13,NBF(f),189665,5,4
