Time,Query,Approach,Tuples,Variants,UniqueVariants
50.66,bsc,NBF(i)(f),330745,5,1
21.61,adr,NBF(i)(f),50093,2,1
92.4,sgn,NBF(i)(f),330745,5,2
93,enc,NBF(i)(f),330745,5,2
3.2,aut,NBF(i)(f),5419,2,1
20.35,frw,NBF(i)(f),55653,2,1
18.44,rmm,NBF(i)(f),44473,2,1
20.68,flt,NBF(i)(f),55653,2,1
22.2,mhs,NBF(i)(f),50093,2,1
100.2,1,NBF(i)(f),254097,5,4
67.8,2_1,NBF(i)(f),366973,5,3
60.6,2_2,NBF(i)(f),207533,5,3
57.92,3,NBF(i)(f),203863,5,3
85.8,4_1,NBF(i)(f),285178,5,4
54.78,4_2,NBF(i)(f),229409,5,3
76.2,5,NBF(i)(f),242917,5,3
66.6,6_1,NBF(i)(f),190656,5,3
57.23,6_2,NBF(i)(f),162831,5,4
61.8,7,NBF(i)(f),223390,5,4
60,8_1,NBF(i)(f),201806,5,4
66,8_2,NBF(i)(f),176712,5,4
0.87,9,NBF(i)(f),3,2,1
73.8,10,NBF(i)(f),192445,5,4
48.79,11,NBF(i)(f),198447,5,2
74.4,12,NBF(i)(f),192445,5,4
73.8,13,NBF(i)(f),189665,5,4
6.81,bsc,NBF(i),330745,5,1
1.84,adr,NBF(i),50093,2,1
6.84,sgn,NBF(i),330745,5,2
6.56,enc,NBF(i),330745,5,2
1.32,aut,NBF(i),5419,2,1
1.82,frw,NBF(i),55653,2,1
1.62,rmm,NBF(i),44473,2,1
1.9,flt,NBF(i),55653,2,1
2.13,mhs,NBF(i),50093,2,1
27.48,1,NBF(i),254097,5,4
13.51,2_1,NBF(i),366973,5,3
18.03,2_2,NBF(i),207533,5,3
17.17,3,NBF(i),203863,5,3
21.5,4_1,NBF(i),285178,5,4
15.95,4_2,NBF(i),229409,5,3
17.81,5,NBF(i),242917,5,3
24.02,6_1,NBF(i),190656,5,3
24.22,6_2,NBF(i),162831,5,4
21.72,7,NBF(i),223390,5,4
23.51,8_1,NBF(i),201806,5,4
26.39,8_2,NBF(i),176712,5,4
0.87,9,NBF(i),3,2,1
26.67,10,NBF(i),192445,5,4
16.22,11,NBF(i),198447,5,2
28.03,12,NBF(i),192445,5,4
27.34,13,NBF(i),189665,5,4
