Time,Query,Approach,Tuples,Variants,UniqueVariants
51.76,bsc,NBF(f),330745,5,1
22.11,adr,NBF(f),50093,2,1
93.6,sgn,NBF(f),330745,5,2
92.4,enc,NBF(f),330745,5,2
3.25,aut,NBF(f),5419,2,1
20.28,frw,NBF(f),55653,2,1
18.79,rmm,NBF(f),44473,2,1
20.32,flt,NBF(f),55653,2,1
22.26,mhs,NBF(f),50093,2,1
98.4,1,NBF(f),254097,5,4
66,2_1,NBF(f),366973,5,3
60,2_2,NBF(f),207533,5,3
57.37,3,NBF(f),203863,5,3
86.4,4_1,NBF(f),285178,5,4
54.18,4_2,NBF(f),229409,5,3
75,5,NBF(f),242917,5,3
65.04,6_1,NBF(f),190656,5,3
55.93,6_2,NBF(f),162831,5,4
61.2,7,NBF(f),223390,5,4
60,8_1,NBF(f),201806,5,4
66.6,8_2,NBF(f),176712,5,4
0.89,9,NBF(f),3,2,1
73.2,10,NBF(f),192445,5,4
47.95,11,NBF(f),198447,5,2
74.4,12,NBF(f),192445,5,4
74.4,13,NBF(f),189665,5,4
8.05,bsc,NBF,330745,5,1
1.92,adr,NBF,50093,2,1
9.26,sgn,NBF,330745,5,2
8.48,enc,NBF,330745,5,2
1.26,aut,NBF,5419,2,1
2.14,frw,NBF,55653,2,1
1.7,rmm,NBF,44473,2,1
2.39,flt,NBF,55653,2,1
2.74,mhs,NBF,50093,2,1
28.62,1,NBF,254097,5,4
13.84,2_1,NBF,366973,5,3
19.12,2_2,NBF,207533,5,3
17.83,3,NBF,203863,5,3
21.82,4_1,NBF,285178,5,4
16.9,4_2,NBF,229409,5,3
19.59,5,NBF,242917,5,3
24.59,6_1,NBF,190656,5,3
25.85,6_2,NBF,162831,5,4
22.78,7,NBF,223390,5,4
24.88,8_1,NBF,201806,5,4
28.38,8_2,NBF,176712,5,4
0.89,9,NBF,3,2,1
28.43,10,NBF,192445,5,4
17.36,11,NBF,198447,5,2
29.82,12,NBF,192445,5,4
28.73,13,NBF,189665,5,4
