Time,Query,Approach,Variants,UniqueVariants
8.05,bsc,NBF,5,1
1.92,adr,NBF,2,1
9.26,sgn,NBF,5,2
8.48,enc,NBF,5,2
1.26,aut,NBF,2,1
2.14,frw,NBF,2,1
1.7,rmm,NBF,2,1
2.39,flt,NBF,2,1
2.74,mhs,NBF,2,1
28.62,1,NBF,5,4
13.84,2_1,NBF,5,3
19.12,2_2,NBF,5,3
17.83,3,NBF,5,3
21.82,4_1,NBF,5,4
16.9,4_2,NBF,5,3
19.59,5,NBF,5,3
24.59,6_1,NBF,5,3
25.85,6_2,NBF,5,4
22.78,7,NBF,5,4
24.88,8_1,NBF,5,4
28.38,8_2,NBF,5,4
0.89,9,NBF,2,1
28.43,10,NBF,5,4
17.36,11,NBF,5,2
29.82,12,NBF,5,4
28.73,13,NBF,5,4
1.66,bsc,UBF,5,1
1.34,adr,UBF,2,1
3.39,sgn,UBF,5,2
3.27,enc,UBF,5,2
1.11,aut,UBF,2,1
1.34,frw,UBF,2,1
1.59,rmm,UBF,2,1
1.36,flt,UBF,2,1
1.53,mhs,UBF,2,1
27.57,1,UBF,5,4
12.57,2_1,UBF,5,3
17.36,2_2,UBF,5,3
16.06,3,UBF,5,3
20.71,4_1,UBF,5,4
13.96,4_2,UBF,5,3
17.18,5,UBF,5,3
23.08,6_1,UBF,5,3
24.1,6_2,UBF,5,4
21.32,7,UBF,5,4
23.76,8_1,UBF,5,4
26.34,8_2,UBF,5,4
0.89,9,UBF,2,1
26.38,10,UBF,5,4
14.55,11,UBF,5,2
27.94,12,UBF,5,4
26.88,13,UBF,5,4
3.58,bsc,UAV,5,1
2.82,adr,UAV,2,1
3.68,sgn,UAV,5,2
3.62,enc,UAV,5,2
1.2,aut,UAV,2,1
1.39,frw,UAV,2,1
1.36,rmm,UAV,2,1
1.48,flt,UAV,2,1
1.71,mhs,UAV,2,1
27.01,1,UAV,5,4
12.26,2_1,UAV,5,3
16.98,2_2,UAV,5,3
16.49,3,UAV,5,3
N/A,4_1,UAV,5,4
15.09,4_2,UAV,5,3
16.82,5,UAV,5,3
22.8,6_1,UAV,5,3
N/A,6_2,UAV,5,4
N/A,7,UAV,5,4
23.11,8_1,UAV,5,4
26.1,8_2,UAV,5,4
0.89,9,UAV,2,1
26.48,10,UAV,5,4
15.48,11,UAV,5,2
27.75,12,UAV,5,4
26.73,13,UAV,5,4
6.81,bsc,NBF(i),5,1
1.84,adr,NBF(i),2,1
6.84,sgn,NBF(i),5,2
6.56,enc,NBF(i),5,2
1.32,aut,NBF(i),2,1
1.82,frw,NBF(i),2,1
1.62,rmm,NBF(i),2,1
1.9,flt,NBF(i),2,1
2.13,mhs,NBF(i),2,1
27.48,1,NBF(i),5,4
13.51,2_1,NBF(i),5,3
18.03,2_2,NBF(i),5,3
17.17,3,NBF(i),5,3
21.5,4_1,NBF(i),5,4
15.95,4_2,NBF(i),5,3
17.81,5,NBF(i),5,3
24.02,6_1,NBF(i),5,3
24.22,6_2,NBF(i),5,4
21.72,7,NBF(i),5,4
23.51,8_1,NBF(i),5,4
26.39,8_2,NBF(i),5,4
0.87,9,NBF(i),2,1
26.67,10,NBF(i),5,4
16.22,11,NBF(i),5,2
28.03,12,NBF(i),5,4
27.34,13,NBF(i),5,4
1.84,bsc,UBF(i),5,1
1.45,adr,UBF(i),2,1
3.37,sgn,UBF(i),5,2
3.12,enc,UBF(i),5,2
1.08,aut,UBF(i),2,1
1.56,frw,UBF(i),2,1
1.24,rmm,UBF(i),2,1
1.37,flt,UBF(i),2,1
1.52,mhs,UBF(i),2,1
27.9,1,UBF(i),5,4
11.86,2_1,UBF(i),5,3
16.34,2_2,UBF(i),5,3
15.32,3,UBF(i),5,3
20.54,4_1,UBF(i),5,4
13.71,4_2,UBF(i),5,3
16.92,5,UBF(i),5,3
22.46,6_1,UBF(i),5,3
23.16,6_2,UBF(i),5,4
20.44,7,UBF(i),5,4
22.93,8_1,UBF(i),5,4
26.3,8_2,UBF(i),5,4
0.87,9,UBF(i),2,1
25.59,10,UBF(i),5,4
14.05,11,UBF(i),5,2
27.43,12,UBF(i),5,4
26.42,13,UBF(i),5,4
