Time,Query,Approach,Tuples
31.04,1,NBF(i)(f),374743
130.2,2,NBF(i)(f),749485
10.19,3,NBF(i)(f),8
37.01,4,NBF(i)(f),11
9.94,5,NBF(i)(f),9
10.22,6,NBF(i)(f),14
67.2,7,NBF(i)(f),546014
145.8,8,NBF(i)(f),1092066
29.03,9,NBF(i)(f),8
29.82,10,NBF(i)(f),14
23.06,11,NBF(i)(f),13
23.34,12,NBF(i)(f),29
31.81,1,NBF(f),374743
126.6,2,NBF(f),749485
10.28,3,NBF(f),8
37.56,4,NBF(f),11
10.78,5,NBF(f),9
10.35,6,NBF(f),14
69.6,7,NBF(f),546014
143.4,8,NBF(f),1092066
29.72,9,NBF(f),8
30.36,10,NBF(f),14
23.66,11,NBF(f),13
23.32,12,NBF(f),29
