Time,Query,Approach,Tuples
51.76,bsc,NBF(f),330745
22.11,adr,NBF(f),50093
93.6,sgn,NBF(f),330745
92.4,enc,NBF(f),330745
3.25,aut,NBF(f),5419
20.28,frw,NBF(f),55653
18.79,rmm,NBF(f),44473
20.32,flt,NBF(f),55653
22.26,mhs,NBF(f),50093
98.4,1,NBF(f),254097
66,2_1,NBF(f),366973
60,2_2,NBF(f),207533
57.37,3,NBF(f),203863
86.4,4_1,NBF(f),285178
54.18,4_2,NBF(f),229409
75,5,NBF(f),242917
65.04,6_1,NBF(f),190656
55.93,6_2,NBF(f),162831
61.2,7,NBF(f),223390
60,8_1,NBF(f),201806
66.6,8_2,NBF(f),176712
0.89,9,NBF(f),3
73.2,10,NBF(f),192445
47.95,11,NBF(f),198447
74.4,12,NBF(f),192445
74.4,13,NBF(f),189665
8.05,bsc,NBF,330745
1.92,adr,NBF,50093
9.26,sgn,NBF,330745
8.48,enc,NBF,330745
1.26,aut,NBF,5419
2.14,frw,NBF,55653
1.7,rmm,NBF,44473
2.39,flt,NBF,55653
2.74,mhs,NBF,50093
28.62,1,NBF,254097
13.84,2_1,NBF,366973
19.12,2_2,NBF,207533
17.83,3,NBF,203863
21.82,4_1,NBF,285178
16.9,4_2,NBF,229409
19.59,5,NBF,242917
24.59,6_1,NBF,190656
25.85,6_2,NBF,162831
22.78,7,NBF,223390
24.88,8_1,NBF,201806
28.38,8_2,NBF,176712
0.89,9,NBF,3
28.43,10,NBF,192445
17.36,11,NBF,198447
29.82,12,NBF,192445
28.73,13,NBF,189665
