Time,Query,Approach
8.05,bsc,NBF
1.92,adr,NBF
9.26,sgn,NBF
8.48,enc,NBF
1.26,aut,NBF
2.14,frw,NBF
1.7,rmm,NBF
2.39,flt,NBF
2.74,mhs,NBF
28.62,1,NBF
13.84,2_1,NBF
19.12,2_2,NBF
17.83,3,NBF
21.82,4_1,NBF
16.9,4_2,NBF
19.59,5,NBF
24.59,6_1,NBF
25.85,6_2,NBF
22.78,7,NBF
24.88,8_1,NBF
28.38,8_2,NBF
0.89,9,NBF
28.43,10,NBF
17.36,11,NBF
29.82,12,NBF
28.73,13,NBF
1.66,bsc,UBF
1.34,adr,UBF
3.39,sgn,UBF
3.27,enc,UBF
1.11,aut,UBF
1.34,frw,UBF
1.59,rmm,UBF
1.36,flt,UBF
1.53,mhs,UBF
27.57,1,UBF
12.57,2_1,UBF
17.36,2_2,UBF
16.06,3,UBF
20.71,4_1,UBF
13.96,4_2,UBF
17.18,5,UBF
23.08,6_1,UBF
24.1,6_2,UBF
21.32,7,UBF
23.76,8_1,UBF
26.34,8_2,UBF
0.89,9,UBF
26.38,10,UBF
14.55,11,UBF
27.94,12,UBF
26.88,13,UBF
3.58,bsc,UAV
2.82,adr,UAV
3.68,sgn,UAV
3.62,enc,UAV
1.2,aut,UAV
1.39,frw,UAV
1.36,rmm,UAV
1.48,flt,UAV
1.71,mhs,UAV
27.01,1,UAV
12.26,2_1,UAV
16.98,2_2,UAV
16.49,3,UAV
0,4_1,UAV
15.09,4_2,UAV
16.82,5,UAV
22.8,6_1,UAV
0,6_2,UAV
0,7,UAV
23.11,8_1,UAV
26.1,8_2,UAV
0.89,9,UAV
26.48,10,UAV
15.48,11,UAV
27.75,12,UAV
26.73,13,UAV
6.81,bsc,NBF(i)
1.84,adr,NBF(i)
6.84,sgn,NBF(i)
6.56,enc,NBF(i)
1.32,aut,NBF(i)
1.82,frw,NBF(i)
1.62,rmm,NBF(i)
1.9,flt,NBF(i)
2.13,mhs,NBF(i)
27.48,1,NBF(i)
13.51,2_1,NBF(i)
18.03,2_2,NBF(i)
17.17,3,NBF(i)
21.5,4_1,NBF(i)
15.95,4_2,NBF(i)
17.81,5,NBF(i)
24.02,6_1,NBF(i)
24.22,6_2,NBF(i)
21.72,7,NBF(i)
23.51,8_1,NBF(i)
26.39,8_2,NBF(i)
0.87,9,NBF(i)
26.67,10,NBF(i)
16.22,11,NBF(i)
28.03,12,NBF(i)
27.34,13,NBF(i)
1.84,bsc,UBF(i)
1.45,adr,UBF(i)
3.37,sgn,UBF(i)
3.12,enc,UBF(i)
1.08,aut,UBF(i)
1.56,frw,UBF(i)
1.24,rmm,UBF(i)
1.37,flt,UBF(i)
1.52,mhs,UBF(i)
27.9,1,UBF(i)
11.86,2_1,UBF(i)
16.34,2_2,UBF(i)
15.32,3,UBF(i)
20.54,4_1,UBF(i)
13.71,4_2,UBF(i)
16.92,5,UBF(i)
22.46,6_1,UBF(i)
23.16,6_2,UBF(i)
20.44,7,UBF(i)
22.93,8_1,UBF(i)
26.3,8_2,UBF(i)
0.87,9,UBF(i)
25.59,10,UBF(i)
14.05,11,UBF(i)
27.43,12,UBF(i)
26.42,13,UBF(i)
